osm_id,WIKIDATA,name,ISO3166-2,type,MS_FB_PARE,MS_FB
389882,Q682642,Alto Paraguay,PY-16,departamento,country:py,country:py/departamento:alto-paraguay
389883,Q741017,Boquerón,PY-19,departamento,country:py,country:py/departamento:boqueron
389884,Q750551,Presidente Hayes,PY-15,departamento,country:py,country:py/departamento:presidente-hayes
389885,Q741009,Concepción,PY-1,departamento,country:py,country:py/departamento:concepcion
389886,Q686586,Amambay,PY-13,departamento,country:py,country:py/departamento:amambay
389887,Q526176,San Pedro,PY-2,departamento,country:py,country:py/departamento:san-pedro
389888,Q279085,Canindeyú,PY-14,departamento,country:py,country:py/departamento:canindeyu
389889,Q755121,Cordillera,PY-3,departamento,country:py,country:py/departamento:cordillera
389890,Q880399,Caaguazú,PY-5,departamento,country:py,country:py/departamento:caaguazu
389891,Q682654,Alto Paraná,PY-10,departamento,country:py,country:py/departamento:alto-parana
389892,Q372461,Central,PY-11,departamento,country:py,country:py/departamento:central
389893,Q240014,Paraguarí,PY-9,departamento,country:py,country:py/departamento:paraguari
389894,Q755116,Guairá,PY-4,departamento,country:py,country:py/departamento:guaira
389895,Q755115,Ñeembucú,PY-12,departamento,country:py,country:py/departamento:neembucu
389896,Q591194,Misiones,PY-8,departamento,country:py,country:py/departamento:misiones
389897,Q881839,Caazapá,PY-6,departamento,country:py,country:py/departamento:caazapa
389898,Q222564,Itapúa,PY-7,departamento,country:py,country:py/departamento:itapua
3654543,Q2933,Distrito Capital de Paraguay,PY-ASU,distrito capital,country:py,country:py/distrito-capital:distrito-capital-de-paraguay
